name,slug,website,one_liner,long_description,batch,status,team_size,industry,subindustry,regions,all_locations,tags,founders,founder_names,founder_linkedins,yc_url
Rowboat Labs,rowboat-labs,https://www.rowboatlabs.com,Open-source AI coworker with memory ,"Rowboat is an AI coworker for everyday work - email, meetings, projects, and people. It builds a local knowledge graph from your work and uses it to draft emails, prep meetings, track projects, and get work done on your own computer. It comes with batteries included - meeting note capture, in-app browsing, search, and app integrations - plus MCP support for custom tools.",Summer 2024,Active,3,Consumer,Consumer,"['India', 'South Asia', 'Remote', 'Fully Remote']","Bengaluru, India; Remote","['Productivity', 'Open Source', 'AI Assistant']",,,,https://www.ycombinator.com/companies/rowboat-labs
Paasa,paasa,https://paasa.com,Invest in Global Equities from India,"Paasa helps wealthy Indians invest in global equities - without middlemen, hidden fees, or paperwork.

While high-net-worths in India often have international expenses from children's education to healthcare, most still save in INR, a currency that depreciates ~2–5% per year against the USD. Why?

- Broken outward remittance process
- Fear of making mistakes in tax or compliance
- Paper-heavy onboarding processes of international brokers
- Lack of trustworthy guidance

Paasa offers a mobile app that enables Indians to trade worldwide, invest via advisory, and automate every cross-border tax filing.",Summer 2024,Active,9,Fintech,Fintech -> Asset Management,"['India', 'South Asia']","Gurugram, HR, India","['Fintech', 'Consumer', 'Investing', 'Emerging Markets']",,,,https://www.ycombinator.com/companies/paasa
xPay,xpay,https://www.xpaycheckout.com/,"International Billing Ops, Sales Tax and Payments for SaaS businesses","We're building a commerce solution for SaaS companies globally that have overseas customers. We especially help them with streamlining billing operations like invoicing and reconciliation, managing foreign sales tax and accepting payments.  We abstract out the complexities of compliance, remittance and integration for these merchants by running all that machinery in the background. ",Winter 2024,Active,3,Fintech,Fintech -> Payments,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, India",[],,,,https://www.ycombinator.com/companies/xpay
Infinity,infinity,https://www.infinityapp.in/,Business banking for cross-border SMBs & Startups,Infinity is a banking and payments platform for cross-border businesses in India. We help our customers make cross-border payments that are 70% cheaper than traditional methods and earn income on idle cash by investing in government securities.,Winter 2024,Active,15,Fintech,Fintech -> Payments,"['India', 'South Asia']","Bengaluru, KA, India","['Fintech', 'Payments', 'B2B', 'Investing', 'International']",,,,https://www.ycombinator.com/companies/infinity
Yenmo,yenmo,https://yenmo.in/,Secured consumer lending in India,"Yenmo offers a better way to access cash for India’s 65 million investors who either resort to personal loans at over 18% interest or have to liquidate their investments when in need of money. With Yenmo, they can pledge their investments digitally and instantly get a loan at a fixed 10.5% interest rate.

Our Insight - In India, over 30% of personal loan borrowers have active investments and are paying double the interest rate they qualify for with us.",Winter 2024,Active,5,Fintech,Fintech -> Credit and Lending,"['India', 'South Asia']","Bengaluru, KA, India","['Fintech', 'Lending', 'Consumer Finance']",,,,https://www.ycombinator.com/companies/yenmo
CORE,heysol,https://getcore.me,Your AI butler that understands you really well and proactively acts…,"CORE is your AI personal assistant that learns who you are, connects to your apps, and does the work before you ask. 

Open source. Self-hostable. Fully yours.",Summer 2023,Active,3,B2B,B2B -> Productivity,"['India', 'South Asia']","Bengaluru, India","['Artificial Intelligence', 'Developer Tools', 'Generative AI', 'SaaS']",,,,https://www.ycombinator.com/companies/heysol
SuperAPI,superapi,https://trysuperapi.com,Programmable API gateway that makes APIs cacheable,"SuperAPI is a programmable API gateway that makes all your fetch APIs cacheable, reducing the response time 10x. 
Our customers use SuperAPI to cache their critical APIs without spending 6-9 months rewriting their code. ",Winter 2023,Active,2,B2B,B2B -> Infrastructure,"['India', 'South Asia']","Chennai, TN, India; Bengaluru, KA, India","['Developer Tools', 'API']",,,,https://www.ycombinator.com/companies/superapi
Mantys,mantys,https://www.mantys.io/,ARR Reporting and Forecasting for SaaS companies,"Mantys helps SaaS companies calculate and forecast their ARR accurately in real time without using multiple spreadsheets. For example, NextBillion uses Mantys to pull data from HubSpot and Chargebee and create real-time views of their Contracted ARR, Billed ARR, Churn, and forecasted ARR",Winter 2023,Active,12,B2B,B2B -> Analytics,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['SaaS', 'Finance', 'B2B', 'India']",,,,https://www.ycombinator.com/companies/mantys
Retape,retape,https://www.retape.ai/,AI workers for debt settlement,"Automating call center operations at debt settlement companies, with AI that plugs into CRM, identifies debts to settle, and negotiates with creditors over the phone.",Winter 2023,Active,3,B2B,B2B -> Sales,"['India', 'South Asia', 'Remote', 'Fully Remote']","Bengaluru, India; Remote","['Generative AI', 'SaaS', 'Finance', 'B2B']",,,,https://www.ycombinator.com/companies/retape
Clueso,clueso,https://clueso.io,Create beautiful videos & docs for any product or process in minutes,"Clueso is the fastest and easiest way for companies to generate high-quality instructional videos and documentation, ideal for customer education/onboarding and employee training. Our AI transforms simple screen-recordings into studio-quality videos and step-by-step documentation in minutes.",Winter 2023,Active,25,B2B,"B2B -> Engineering, Product and Design","['India', 'South Asia']","Bengaluru, KA, India","['Generative AI', 'SaaS', 'B2B', 'Customer Success', 'Enterprise']",,,,https://www.ycombinator.com/companies/clueso
SuperKalam,superkalam,https://superkalam.com,AI-Powered Super Mentor for Test Prep,"Every student deserve personal attention. With AI, we can infinitely scale personalised learning experience at scale to every student. That's what we are building at SuperKalam.

",Winter 2023,Active,20,Education,Education,"['India', 'South Asia']","Bengaluru, KA, India","['AI-Enhanced Learning', 'Artificial Intelligence', 'Education', 'Edtech', 'AI']",,,,https://www.ycombinator.com/companies/superkalam
ClickPe,clickpe,https://clickpe.ai/,Finance on a Click,"Small shop owners earn daily unlike salaried people but when it comes to loan repayment both are asked to pay monthly. For these shop owners it is difficult to calculate how much to save daily so that they will have the required installment amount at the end of the month and also at the time of repayment they have a big hole in their working capital.

Therefore, when you earn daily why not pay daily and get away from the stress of huge one-time installments. 

Every day a small amount of $X is deducted from your digital wallet which is on the auto-debit mandate and you don't need to worry about keeping your balance of $XXXX. You never default and also good credit scores are created.",Winter 2023,Active,2,Fintech,Fintech -> Credit and Lending,"['India', 'South Asia', 'Remote', 'Partly Remote']","Surat, GJ, India","['Fintech', 'Marketplace', 'B2B']",,,,https://www.ycombinator.com/companies/clickpe
DrDroid,drdroid,https://drdroid.io/,Your best friend in production.,"DrDroid is building AI Agents for Platform & Infrastructure teams. 
We help engineering teams fix issues faster and reduce escalations during on-call—automating triage, debugging, and remediation.

We’re also the team behind several open-source projects:
🔹 Playbooks – A runbook automation platform
🔹 Kenobi – An event analytics platform for debugging data pipelines

Join us in redefining how teams run operations in the post-GPT world.",Winter 2023,Active,8,B2B,"B2B -> Engineering, Product and Design","['India', 'South Asia']","Bengaluru, KA, India","['Developer Tools', 'SaaS', 'B2B']",,,,https://www.ycombinator.com/companies/drdroid
Cone,cone,https://www.getcone.io,Work operating system for professional service businesses,"Cone is an AI-powered work operating system that unifies accounting workflows —
proposals, tasks, billing, payments, and client engagement into one platform",Summer 2022,Active,8,B2B,B2B -> Finance and Accounting,"['India', 'South Asia', 'Remote', 'Fully Remote']","Hyderabad, Telangana, India; Remote","['SaaS', 'B2B', 'Workflow Automation']",,,,https://www.ycombinator.com/companies/cone
Landeed,landeed,https://www.landeed.com/,"Landeed is India’s digital infrastructure for property intelligence,…","Landeed is the AI-native digital infrastructure for property intelligence, verification, and transactions in India. We provide read/write rails that transform fragmented property and regulatory systems into continuously verified, machine-interpretable state. Powered by Terra, our proprietary property intelligence engine, Landeed converts messy, multi-source records into structured, queryable knowledge that supports legal-grade due diligence, collateral verification, title search, transfers, and property payments. With coverage across 24 states, enterprises go live nationally from day one. We are trusted by Fortune India 500 companies across BFSI, real estate, and retail.

Landeed is the blue tick for property.",Summer 2022,Active,35,Fintech,Fintech,"['India', 'South Asia', 'Remote', 'Partly Remote']","Hyderabad, Telangana, India","['Documents', 'Artificial Intelligence', 'Fintech', 'Legal', 'Proptech']",,,,https://www.ycombinator.com/companies/landeed
FlatX,flatx,https://www.flatx.co/,AI-Powered Rental Platform for Urban Renters,"FlatX is the first AI-powered rental platform in India focused on Young Renters. It helps them find the right flat and the right flatmate faster, and makes it effortless to rent in any city without brokers, scams, or the usual chaos.",Summer 2022,Active,2,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,"['India', 'South Asia']","Bengaluru, KA, India","['Marketplace', 'Real Estate', 'Housing']",,,,https://www.ycombinator.com/companies/flatx
AlgoTest,algotest,https://algotest.in,Ecosystem for options trading in India,"AlgoTest is an algorithmic options trading platform for Indian retail traders. For the first time ever, day traders will be able to trade using the same technology as the top hedge funds and high-frequency trading firms of the world.

The company is founded by Raghav Malik (Financial Engineering @ Columbia Univ), an HFT technologist and former options market-maker in the US.",Summer 2022,Active,28,Fintech,Fintech,"['India', 'South Asia']","Delhi, DL, India","['Fintech', 'No-code']",,,,https://www.ycombinator.com/companies/algotest
Sculpt,sculpt,https://www.sculptcosting.com/,Fully automated should-cost analysis for precision manufacturers.,"Artificial Intelligence that converts manufacturing drawings into costing quotations in minutes, not weeks.",Summer 2022,Active,2,B2B,"B2B -> Engineering, Product and Design","['United States of America', 'India', 'America / Canada', 'South Asia']","San Francisco, CA, USA; MH, India","['B2B', 'Manufacturing', 'Enterprise']",,,,https://www.ycombinator.com/companies/sculpt
CompUp,compup,https://www.compup.io,Building a compensation graph to help companies optimise people spend,"With over 500M white-collared job offers rolled out annually, companies find it very difficult to be certain about what to offer. Companies rely on old compensation survey data, which are updated only once every year.

The salary expectations of candidates in the market change significantly on a quarterly basis (~7% statistically) in the startup ecosystem.

This results in more than 50% of qualified/selected candidates not joining the company due to expectation mismatch.

CompUp is an API-driven compensation benchmarking tool. We integrate with your existing HR/payroll systems, removing the need for manual data entry, and also getting updated in real-time.

CompUp provides the most accurate real-time compensation benchmarking data which helps you make the right offer to the candidate. The platform allows you to make better compensation decisions such as annual increments, candidate offers using internal and external data. 

This has the following advantages :
- All the process of compensation data submission is automatic and needs no manual intervention
- Since the job market is dynamic in nature, the offers made on CompUp's real-time benchmarks would be the most efficient
- The presentation of the offer to the candidate makes it look more appealing and explanatory to the candidate
",Summer 2022,Active,35,B2B,B2B -> Human Resources,"['India', 'South Asia']","Bengaluru, KA, India","['SaaS', 'Human Resources', 'B2B', 'HR Tech']",,,,https://www.ycombinator.com/companies/compup
Maya Labs,maya-labs,https://mayalabs.io,Building self-programming machines,Applied research lab on a mission to build machines which can program themselves to do any task.,Summer 2022,Active,5,B2B,B2B -> Productivity,"['India', 'South Asia']","Bengaluru, KA, India","['Artificial Intelligence', 'Generative AI', 'Robotic Process Automation', 'B2B']",,,,https://www.ycombinator.com/companies/maya-labs
Peoplebox.ai,peoplebox,https://www.peoplebox.ai,"AI talent platform to hire, manage, and grow your people ","Peoplebox.ai is an AI-native talent platform used by 500+ companies to hire, manage, and grow their people.

At the center is Nova, the world’s most human-like AI teammate, for all talent conversations. Nova runs two-way voice/video pre-screen calls, first-round interviews (with coding round and advance proctoring), check-ins, and assessments,  all with your company’s context built in.

The talent management platform brings together OKRs/goals, performance reviews, career growth, calibration, and compensation into one unified system, helping companies align, assess, and develop talent faster.",Summer 2022,Active,35,B2B,B2B -> Human Resources,"['India', 'South Asia']","Bengaluru, India","['Artificial Intelligence', 'SaaS', 'B2B', 'Recruiting', 'HR Tech']",,,,https://www.ycombinator.com/companies/peoplebox
100x,100x,https://100x.bot?utm_source=inbound&utm_medium=bookface&utm_campaign=yc&utm_id=122,"Create, Share, and Monetize AI Agents",,Summer 2022,Active,3,B2B,B2B -> Productivity,"['India', 'South Asia']","Bengaluru, KA, India","['Artificial Intelligence', 'AI', 'AI Assistant']",,,,https://www.ycombinator.com/companies/100x
Slidely AI,slidely-ai,https://slidely.ai/,"AI for professional PowerPoint presentations, available in PowerPoint","Create new slides or upgrade existing ones with AI that works natively inside PowerPoint and stays true to your company’s branding, templates, and standards.

How Slidely AI is different -

1. Works directly in PowerPoint
Native PPTX support — no HTML-to-PPT hacks, exports, or broken layouts.

2. Improves slides you already have
Because it understands real PowerPoint files, Slidely AI can rewrite, redesign, and tighten existing decks — not just generate new ones.

3. Agentic, consulting-grade output
Unlike other tools which can only use simple templates, Slidely AI agent puts each shape individually on slides to express your complex data.

4. Truly on-brand, every time
Learns from your past decks to follow your colors, fonts, layouts, and slide patterns — so every slide looks like it came from you, not a generic AI tool.",Summer 2022,Active,5,B2B,B2B -> Productivity,"['India', 'South Asia']","Bengaluru, India",[],,,,https://www.ycombinator.com/companies/slidely-ai
Gullak Money,gullak-money,https://gullak.money,Gullak automates savings & invests these in gold,"Gullak is a mobile app that automates savings & invests these in Gold. We launched in India 60 days ago and have grown from 0 to 40k transacting users and hit a monthly GTV of $280K already. We are growing 25% week on week.

India is a nation of savers but the way the majority of India saves is non-smart & does not create wealth. There are 200 Mn Indians who save manually in bank deposits, the returns from these instruments do not even beat India's inflation. 

Gold is an instrument that India loves - 30Bn worth gold is purchased in India every year by middle income households. Gold has great cultural significance in India & there is high familiarity with the asset class. Despite gold being a familiar asset class & giving 5% higher returns than bank deposits, 200 Mn Indians still save manually in these non wealth creating bank deposits. This is largely because the ways to save in Gold required painful discrete activities such as manually accumulating money to buy gold, going to offline stores to buy this gold, incurring storage charges & more. The minimum ticket size for purchasing gold at these stores is $50 adding to more friction to saving in Gold.

Using automated savings, Gullak now makes it extremely easy for users to save small amounts regularly($1/day) in digital Gold.This was not possible a year ago because the underlying infrastructure(UPI Autopay) was missing. 

With 50 Mn Indians saving $2/day & with gold backed lending, this is a $1.5Bn market opportunity.

Gullak’s Founding team is the team which built BHIM UPI App(10Mn Downloads in 10 Days), this was launched by the PM of India. We built large scale payment systems for partners like GooglePay / Amazon, processing more than 30Mn payments/day. This is the same team that has built more than 40+ consumer brands & their initial growth strategy.
",Summer 2022,Active,15,Fintech,Fintech,"['India', 'South Asia']","Bengaluru, KA, India","['Fintech', 'Consumer']",,,,https://www.ycombinator.com/companies/gullak-money
Raven,raven,https://startraven.com,AI Assistants for Manufacturing Operations,"At Raven, we are building AI assistants for manufacturing plants which can offer intelligent assistance for day-to-day operations like training, job planning, troubleshooting, reporting and also helps with real-time analytics — all while seamlessly integrating with your existing systems.
We’re taking decades of manufacturing expertise and combining it with AI to solve real operational problems. We’re a small, focused team working to make industrial operations safer, smarter, and more efficient.",Summer 2022,Active,4,B2B,"B2B -> Engineering, Product and Design","['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['AI-Enhanced Learning', 'Artificial Intelligence', 'Manufacturing', 'AI Assistant']",,,,https://www.ycombinator.com/companies/raven
EthosX,ethosx,https://www.ethosx.finance/,The protocol for derivatives on blockchains,"EthosX is a decentralized finance platform creating end-to-end financial derivatives on blockchains. No centralized exchanges, clearinghouses, depositories, clearing banks, CSD participants etc. required.

We are starting with cryptocurrency options first, with the intention to move towards other crypto derivatives and traditional finance derivatives eventually.

For example, one can buy a bitcoin hedging token directly from EthosX without involving any exchange or counterparty and earn profits when the bitcoin price is falling (similar to a put option). It is perpetual and is completely on-chain, end-to-end. It is held as a token in wallets and can be sold/transferred to anyone at any time.

At institutional level, using EthosX’s options infrastructure two hedge funds can trade high-value on-chain options with each other directly without involving any banks or brokers with zero counterparty risk and zero settlement risk.

We are also providing derivatives infrastructure to other crypto companies who want to use these products as a part of a larger package to their customers.

Global derivatives ecosystem is broken. Derivatives trading in traditional finance has way too many gatekeepers and intermediaries. Crypto was supposed to be free of these issues and a solution to all of this, but it is itself getting more and more centralized with disastrous consequences.

We at EthosX intend to pick the best of both worlds and change the way retail and institutional financial derivatives are traded world over.",Summer 2022,Active,2,Fintech,Fintech,"['United States of America', 'India', 'America / Canada', 'South Asia', 'Remote', 'Fully Remote']","Claymont, DE, USA; Bengaluru, KA, India; Mumbai, MH, India; Remote","['DeFi', 'Fintech', 'Crypto / Web3', 'Consumer', 'B2B']",,,,https://www.ycombinator.com/companies/ethosx
Craze,craze,https://www.crazehq.com/?utm_source=yc,"Actually do things with the right AI models, apps and agents for you","Don't just chat with AI. Actually do things.

Tell Craze to do anything: run marketing campaigns, hire employees, build AI coworkers, automate workflows, plan weddings, etc. Craze picks and brings together all the right AI models, apps and agents to actually get things done for you.",Summer 2022,Active,10,B2B,B2B -> Productivity,"['India', 'South Asia']","Mumbai, MH, India",['AI'],,,,https://www.ycombinator.com/companies/craze
Coupl,coupl,https://coupl.money/,Banking designed for Indian couples.,"Coupl is a digital joint account for Indian households. We help couples and families easily manage their shared and household payments from one shared account.

Over 20 million Indians marry each year, creating a $300 billion market opportunity in household expenses. Couples juggle multiple accounts, cards, and expense-tracking tools. Joint accounts involve lengthy paperwork, rejections, and minimum balance requirements, making them inconvenient for modern couples. Beyond married couples, this need extends to engaged partners, live-in couples, roommates, and families seeking simpler ways to manage shared expenses.

Coupl offers a digital, zero-balance joint account with co-branded debit cards and in-app bill payments, set up in just 60 seconds. Couples can use the account for all shared expenses, with an analytics dashboard to help them stay on top of their finances.

Coupl is powered by RuPay, NPCI and IDFC FIRST Bank.",Summer 2022,Active,8,Fintech,Fintech -> Banking and Exchange,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['Fintech', 'Consumer']",,,,https://www.ycombinator.com/companies/coupl
Clinikally,clinikally,https://www.clinikally.com/,India's Telemedicine Platform & Online Pharmacy for Dermatology Care,"India's leading digital health destination for Dermatology, Nutrition & Wellness. A multi-condition health platform providing Telehealth, AI-powered treatment plans, and Rx-grade products. Our virtual care is entirely science-based and personalized to each patient, based on prescription history, medical parameters, family history, lifestyle, surroundings and preexisting health issues.",Summer 2022,Active,125,Healthcare,Healthcare -> Consumer Health and Wellness,"['India', 'South Asia', 'Remote', 'Partly Remote']","Gurugram, HR, India","['Consumer Health Services', 'Telehealth', 'Digital Health', 'E-commerce']",,,,https://www.ycombinator.com/companies/clinikally
GoSats,gosats,https://gosats.io,GoSats helps you earn free bitcoin when you shop in India.,GoSats is a bitcoin rewards app. We help people accumulate free bitcoin as cashbacks and rewards every time they shop in India.,Winter 2022,Active,8,Fintech,Fintech,"['India', 'South Asia', 'Remote', 'Partly Remote']","Bengaluru, KA, India","['E-commerce', 'India']",,,,https://www.ycombinator.com/companies/gosats
Better Opinions,better-opinions,https://betteropinions.in/,Prediction market of India,"Better Opinions is a prediction market of India which allows users to trade their opinion on everyday topics. For example, If you think India Covid cases will decrease by 10% this week, you can trade this insight and win money if correct.

Our aim is to make the app inclusive for all. The stock market unfortunately can be very technical and opaque and therefore isn’t always accessible for all. However, when we start allowing trading in categories such as cricket, politics and entertainment, not only do we make trading more relatable, but we also help improve their financial literacy.",Winter 2022,Active,12,Consumer,Consumer -> Gaming,"['India', 'South Asia', 'Remote', 'Fully Remote']","Bengaluru, India; Gurugram, HR, India; Remote","['Fintech', 'Consumer', 'B2B', 'Gaming']",,,,https://www.ycombinator.com/companies/better-opinions
